reading_plan_id,day,book_id,chapter,first_verse,last_verse
2,1,1,1,,
2,1,1,2,,
2,2,1,3,,
2,2,1,4,,
2,2,1,5,,
2,3,1,6,,
2,3,1,7,,
2,3,1,8,,
2,3,1,9,,
2,4,1,10,,
2,4,1,11,,
2,5,1,12,,
2,5,1,13,,
2,5,1,14,,
2,5,1,15,,
2,6,1,16,,
2,6,1,17,,
2,6,1,18,,
2,6,1,19,,
2,7,1,20,,
2,7,1,21,,
2,7,1,22,,
2,8,1,23,,
2,8,1,24,,
2,8,1,25,,
2,8,1,26,,
2,9,1,27,,
2,9,1,28,,
2,9,1,29,,
2,10,1,30,,
2,10,1,31,,
2,10,1,32,,
2,11,1,33,,
2,11,1,34,,
2,11,1,35,,
2,11,1,36,,
2,12,1,37,,
2,12,1,38,,
2,12,1,39,,
2,13,1,40,,
2,13,1,41,,
2,13,1,42,,
2,14,1,43,,
2,14,1,44,,
2,14,1,45,,
2,14,1,46,,
2,15,1,47,,
2,15,1,48,,
2,15,1,49,,
2,15,1,50,,
2,16,18,1,,
2,16,18,2,,
2,16,18,3,,
2,16,18,4,,
2,17,18,5,,
2,17,18,6,,
2,17,18,7,,
2,18,18,8,,
2,18,18,9,,
2,18,18,10,,
2,19,18,11,,
2,19,18,12,,
2,19,18,13,,
2,20,18,14,,
2,20,18,15,,
2,20,18,16,,
2,20,18,17,,
2,21,18,18,,
2,21,18,19,,
2,21,18,20,,
2,22,18,21,,
2,22,18,22,,
2,22,18,23,,
2,22,18,24,,
2,23,18,25,,
2,23,18,26,,
2,23,18,27,,
2,24,18,28,,
2,24,18,29,,
2,24,18,30,,
2,24,18,31,,
2,25,18,32,,
2,25,18,33,,
2,25,18,34,,
2,26,18,35,,
2,26,18,36,,
2,26,18,37,,
2,27,18,38,,
2,27,18,39,,
2,27,18,40,,
2,27,18,41,,
2,27,18,42,,
2,28,2,1,,
2,28,2,2,,
2,28,2,3,,
2,28,2,4,,
2,29,2,5,,
2,29,2,6,,
2,29,2,7,,
2,30,2,8,,
2,30,2,9,,
2,30,2,10,,
2,31,2,11,,
2,31,2,12,,
2,31,2,13,,
2,32,2,14,,
2,32,2,15,,
2,32,2,16,,
2,32,2,17,,
2,33,2,18,,
2,33,2,19,,
2,33,2,20,,
2,34,2,21,,
2,34,2,22,,
2,34,2,23,,
2,34,2,24,,
2,35,2,25,,
2,35,2,26,,
2,35,2,27,,
2,36,2,28,,
2,36,2,29,,
2,36,2,30,,
2,36,2,31,,
2,37,2,32,,
2,37,2,33,,
2,37,2,34,,
2,38,2,35,,
2,38,2,36,,
2,38,2,37,,
2,39,2,38,,
2,39,2,39,,
2,39,2,40,,
2,40,3,1,,
2,40,3,2,,
2,40,3,3,,
2,40,3,4,,
2,41,3,5,,
2,41,3,6,,
2,41,3,7,,
2,42,3,8,,
2,42,3,9,,
2,42,3,10,,
2,43,3,11,,
2,43,3,12,,
2,43,3,13,,
2,44,3,14,,
2,44,3,15,,
2,44,3,16,,
2,45,3,17,,
2,45,3,18,,
2,45,3,19,,
2,46,3,20,,
2,46,3,21,,
2,46,3,22,,
2,46,3,23,,
2,47,3,24,,
2,47,3,25,,
2,47,3,26,,
2,47,3,27,,
2,48,4,1,,
2,48,4,2,,
2,48,4,3,,
2,49,4,4,,
2,49,4,5,,
2,49,4,6,,
2,50,4,7,,
2,50,4,8,,
2,50,4,9,,
2,50,4,10,,
2,51,4,11,,
2,51,4,12,,
2,51,4,13,,
2,51,4,14,,
2,52,4,15,,
2,52,4,16,,
2,52,4,17,,
2,53,4,18,,
2,53,4,19,,
2,53,4,20,,
2,54,4,21,,
2,54,4,22,,
2,54,4,23,,
2,54,4,24,,
2,55,4,25,,
2,55,4,26,,
2,55,4,27,,
2,56,4,28,,
2,56,4,29,,
2,56,4,30,,
2,57,4,31,,
2,57,4,32,,
2,57,4,33,,
2,58,4,34,,
2,58,4,35,,
2,58,4,36,,
2,59,5,1,,
2,59,5,2,,
2,59,5,3,,
2,60,5,4,,
2,60,5,5,,
2,60,5,6,,
2,61,5,7,,
2,61,5,8,,
2,61,5,9,,
2,62,5,10,,
2,62,5,11,,
2,62,5,12,,
2,63,5,13,,
2,63,5,14,,
2,63,5,15,,
2,63,5,16,,
2,64,5,17,,
2,64,5,18,,
2,64,5,19,,
2,65,5,20,,
2,65,5,21,,
2,65,5,22,,
2,66,5,23,,
2,66,5,24,,
2,66,5,25,,
2,67,5,26,,
2,67,5,27,,
2,67,5,28,,
2,68,5,29,,
2,68,5,30,,
2,68,5,31,,
2,69,5,32,,
2,69,5,33,,
2,69,5,34,,
2,70,6,1,,
2,70,6,2,,
2,70,6,3,,
2,71,6,4,,
2,71,6,5,,
2,71,6,6,,
2,72,6,7,,
2,72,6,8,,
2,72,6,9,,
2,73,6,10,,
2,73,6,11,,
2,73,6,12,,
2,74,6,13,,
2,74,6,14,,
2,74,6,15,,
2,75,6,16,,
2,75,6,17,,
2,75,6,18,,
2,76,6,19,,
2,76,6,20,,
2,76,6,21,,
2,77,6,22,,
2,77,6,23,,
2,77,6,24,,
2,78,7,1,,
2,78,7,2,,
2,78,7,3,,
2,78,7,4,,
2,79,7,5,,
2,79,7,6,,
2,79,7,7,,
2,79,7,8,,
2,80,7,9,,
2,80,7,10,,
2,80,7,11,,
2,80,7,12,,
2,81,7,13,,
2,81,7,14,,
2,81,7,15,,
2,82,7,16,,
2,82,7,17,,
2,82,7,18,,
2,83,7,19,,
2,83,7,20,,
2,83,7,21,,
2,84,8,1,,
2,84,8,2,,
2,84,8,3,,
2,84,8,4,,
2,85,9,1,,
2,85,9,2,,
2,85,9,3,,
2,86,9,4,,
2,86,9,5,,
2,86,9,6,,
2,86,9,7,,
2,87,9,8,,
2,87,9,9,,
2,87,9,10,,
2,88,9,11,,
2,88,9,12,,
2,88,9,13,,
2,89,9,14,,
2,89,9,15,,
2,89,9,16,,
2,90,9,17,,
2,90,9,18,,
2,90,9,19,,
2,90,9,20,,
2,91,9,21,,
2,91,9,22,,
2,91,9,23,,
2,91,9,24,,
2,92,9,25,,
2,92,9,26,,
2,92,9,27,,
2,92,9,28,,
2,93,9,29,,
2,93,9,30,,
2,93,9,31,,
2,94,10,1,,
2,94,10,2,,
2,94,10,3,,
2,94,10,4,,
2,95,10,5,,
2,95,10,6,,
2,95,10,7,,
2,95,10,8,,
2,96,10,9,,
2,96,10,10,,
2,96,10,11,,
2,96,10,12,,
2,97,10,13,,
2,97,10,14,,
2,97,10,15,,
2,98,10,16,,
2,98,10,17,,
2,98,10,18,,
2,99,10,19,,
2,99,10,20,,
2,99,10,21,,
2,100,10,22,,
2,100,10,23,,
2,100,10,24,,
2,101,19,1,,
2,101,19,2,,
2,101,19,3,,
2,102,19,4,,
2,102,19,5,,
2,102,19,6,,
2,103,19,7,,
2,103,19,8,,
2,103,19,9,,
2,104,19,10,,
2,104,19,11,,
2,104,19,12,,
2,105,19,13,,
2,105,19,14,,
2,105,19,15,,
2,106,19,16,,
2,106,19,17,,
2,106,19,18,,
2,107,19,19,,
2,107,19,20,,
2,107,19,21,,
2,108,19,22,,
2,108,19,23,,
2,108,19,24,,
2,109,19,25,,
2,109,19,26,,
2,109,19,27,,
2,110,19,28,,
2,110,19,29,,
2,110,19,30,,
2,111,19,31,,
2,111,19,32,,
2,111,19,33,,
2,112,19,34,,
2,112,19,35,,
2,112,19,36,,
2,113,19,37,,
2,113,19,38,,
2,113,19,39,,
2,114,19,40,,
2,114,19,41,,
2,114,19,42,,
2,115,19,43,,
2,115,19,44,,
2,115,19,45,,
2,116,19,46,,
2,116,19,47,,
2,116,19,48,,
2,117,19,49,,
2,117,19,50,,
2,117,19,51,,
2,118,19,52,,
2,118,19,53,,
2,118,19,54,,
2,119,19,55,,
2,119,19,56,,
2,119,19,57,,
2,120,19,58,,
2,120,19,59,,
2,120,19,60,,
2,121,19,61,,
2,121,19,62,,
2,121,19,63,,
2,122,19,64,,
2,122,19,65,,
2,122,19,66,,
2,123,19,67,,
2,123,19,68,,
2,123,19,69,,
2,124,19,70,,
2,124,19,71,,
2,124,19,72,,
2,125,19,73,,
2,125,19,74,,
2,125,19,75,,
2,126,19,76,,
2,126,19,77,,
2,126,19,78,,
2,127,19,79,,
2,127,19,80,,
2,127,19,81,,
2,128,19,82,,
2,128,19,83,,
2,128,19,84,,
2,129,19,85,,
2,129,19,86,,
2,129,19,87,,
2,130,19,88,,
2,130,19,89,,
2,130,19,90,,
2,131,19,91,,
2,131,19,92,,
2,131,19,93,,
2,132,19,94,,
2,132,19,95,,
2,132,19,96,,
2,133,19,97,,
2,133,19,98,,
2,133,19,99,,
