reading_plan_id,day,book_id,chapter,first_verse,last_verse
1,1,3,5,27,39
1,1,1,1,,
1,1,1,2,,
1,1,19,1,,
1,2,42,6,1,26
1,2,1,3,,
1,2,1,4,,
1,2,1,5,,
1,2,19,2,,
1,3,42,6,27,49
1,3,1,6,,
1,3,1,7,,
1,3,19,3,,
1,4,42,7,1,17
1,4,1,8,,
1,4,1,9,,
1,4,1,10,,
1,4,19,4,,
1,5,42,7,18,50
1,5,1,11,,
1,5,19,5,,
1,6,42,8,1,25
1,6,1,12,,
1,6,19,6,,
1,7,42,8,26,56
1,7,1,13,,
1,7,1,14,,
1,7,19,7,,
1,8,42,9,1,27
1,8,1,15,,
1,8,19,8,,
1,9,42,9,28,62
1,9,1,16,,
1,9,19,9,,
1,10,42,10,1,20
1,10,1,17,,
1,10,19,10,,
1,11,42,10,21,42
1,11,1,18,,
1,11,19,11,,
1,12,42,11,1,28
1,12,1,19,,
1,12,19,12,,
1,13,42,11,29,54
1,13,1,20,,
1,13,19,13,,
1,14,42,12,1,31
1,14,1,21,,
1,14,19,14,,
1,15,42,12,32,59
1,15,1,22,,
1,15,19,15,,
1,16,42,13,1,17
1,16,1,23,,
1,16,19,16,,
1,17,42,13,18,35
1,17,1,24,,
1,17,19,17,,
1,18,42,14,1,24
1,18,1,25,,
1,18,19,28,,
1,19,42,14,25,35
1,19,1,26,,
1,19,19,19,,
1,20,42,15,,
1,20,1,27,1,45
1,20,19,20,,
1,21,42,16,,
1,21,1,27,,46
1,21,1,28,,
1,21,19,21,,
1,22,42,17,,
1,22,1,29,1,30
1,22,19,22,,
1,23,42,18,1,17
1,23,1,29,31,35
1,23,1,30,,
1,23,19,23,,
1,24,42,18,18,43
1,24,1,31,,
1,24,19,24,,
1,25,42,19,1,27
1,25,1,32,,
1,25,1,33,,
1,25,19,25,,
1,26,42,19,28,48
1,26,1,34,,
1,26,19,26,,
1,27,42,20,1,26
1,27,1,35,,
1,27,1,36,,
1,27,19,27,,
1,28,42,20,27,47
1,28,1,37,,
1,28,19,28,,
1,29,42,21,,
1,29,1,38,,
1,29,19,29,,
1,30,42,22,1,38
1,30,1,39,,
1,30,19,30,,
1,31,42,22,39,71
1,31,1,40,,
1,31,19,31,,
1,32,42,23,1,25
1,32,1,41,,
1,32,19,32,,
1,33,42,23,26,56
1,33,1,42,,
1,33,19,33,,
1,34,42,24,1,12
1,34,1,43,,
1,34,19,34,,
1,35,42,24,13,53
1,35,1,44,,
1,35,19,35,,
1,36,58,1,,
1,36,1,45,,
1,36,1,46,1,27
1,36,19,36,,
1,37,58,2,,
1,37,1,46,28,34
1,37,1,47,,
1,37,19,37,,
1,38,58,3,,
1,38,58,4,1,13
1,38,1,48,,
1,38,19,38,,
1,39,58,4,14,16
1,39,58,5,,
1,39,58,6,1,12
1,39,1,49,,
1,39,1,50,,
1,39,19,39,,
1,40,58,6,13,20
1,40,2,1,,
1,40,2,2,,
1,40,19,40,,
1,41,58,7,,
1,41,2,3,,
1,41,2,4,,
1,41,19,41,,
1,42,58,8,,
1,42,2,5,,
1,42,2,6,1,27
1,42,20,1,,
1,43,58,9,1,22
1,43,2,6,28,30
1,43,2,7,,
1,43,2,8,,
1,43,20,2,,
1,44,58,9,23,28
1,44,58,10,1,18
1,44,2,9,,
1,44,2,10,,
1,44,20,3,,
1,45,58,10,19,39
1,45,2,11,,
1,45,2,12,,
1,45,20,4,,
1,46,58,11,1,21
1,46,2,13,,
1,46,2,14,,
1,46,20,5,,
1,47,58,11,22,40
1,47,2,15,,
1,47,20,6,,
1,47,20,7,1,5
1,48,58,12,,
1,48,2,16,,
1,48,2,17,,
1,48,20,7,6,27
1,49,58,13,,
1,49,2,18,,
1,49,2,19,,
1,49,20,8,,
1,50,40,1,,
1,50,2,20,,
1,50,2,21,,
1,50,20,9,,
1,51,40,2,,
1,51,2,22,,
1,51,2,23,,
1,51,20,10,,
1,52,40,3,,
1,52,2,24,,
1,52,20,11,,
1,53,40,4,,
1,53,2,25,,
1,53,2,26,,
1,53,2,27,,
1,53,20,12,,
1,54,40,5,1,20
1,54,2,28,,
1,54,2,29,,
1,54,20,13,,
1,55,40,5,21,48
1,55,2,30,,
1,55,2,31,,
1,55,2,32,,
1,55,20,14,,
1,56,40,6,1,18
1,56,2,33,,
1,56,2,34,,
1,56,20,15,,
1,57,40,6,19,34
1,57,2,35,,
1,57,2,36,,
1,57,20,16,,
1,58,40,7,,
1,58,2,37,,
1,58,2,38,,
1,58,20,17,,
1,59,40,8,1,13
1,59,2,39,,
1,59,2,40,,
1,59,20,18,,
1,60,40,8,14,34
1,60,3,1,,
1,60,3,2,,
1,60,20,19,,
1,61,40,9,1,17
1,61,3,3,,
1,61,3,4,,
1,61,20,20,,
1,62,40,9,18,38
1,62,3,5,,
1,62,3,6,,
1,62,20,21,,
1,63,40,10,1,25
1,63,3,7,,
1,63,3,8,,
1,63,20,22,,
1,64,40,10,26,42
1,64,3,9,,
1,64,3,10,,
1,64,20,23,,
1,65,40,11,1,19
1,65,3,11,,
1,65,3,12,,
1,65,20,24,,
1,66,40,11,20,30
1,66,3,13,,
1,66,20,25,,
1,67,40,12,1,21
1,67,3,14,,
1,67,20,26,,
1,68,40,12,22,50
1,68,3,15,,
1,68,3,16,,
1,68,20,27,,
1,69,40,13,1,23
1,69,3,17,,
1,69,3,18,,
1,69,20,28,,
1,70,40,13,24,58
1,70,3,19,,
1,70,20,29,,
1,71,40,14,1,21
1,71,3,20,,
1,71,3,21,,
1,71,20,30,,
1,72,40,14,22,36
1,72,3,22,,
1,72,3,23,,
1,72,20,31,,
1,73,40,15,1,20
1,73,3,24,,
1,73,3,25,,
1,73,21,1,1,11
1,74,40,15,21,39
1,74,3,26,,
1,74,3,27,,
1,74,21,1,12,18
1,74,21,2,,
1,75,40,16,,
1,75,4,1,,
1,75,4,2,,
1,75,21,3,1,15
1,76,40,17,,
1,76,4,3,,
1,76,4,4,,
1,76,21,3,16,22
1,76,21,4,,
1,77,40,18,1,17
1,77,4,5,,
1,77,4,6,,
1,77,21,5,,
1,78,40,18,18,35
1,78,4,7,,
1,78,4,8,,
1,78,21,6,,
1,79,40,19,1,15
1,79,4,9,,
1,79,4,10,,
1,79,21,7,,
1,80,40,19,16,30
1,80,4,11,,
1,80,4,12,,
1,80,21,8,,
1,81,40,20,1,16
1,81,4,13,,
1,81,4,14,,
1,81,21,9,1,12
1,82,40,20,17,34
1,82,4,15,,
1,82,4,16,,
1,82,21,9,13,18
1,83,40,21,1,27
1,83,4,17,,
1,83,4,18,,
1,83,21,11,1,8
1,84,40,21,28,46
1,84,4,19,,
1,84,4,20,,
1,84,21,11,9,10
1,84,21,12,,
1,85,40,22,1,22
1,85,4,21,,
1,85,22,1,,
1,85,22,2,1,7
1,86,40,22,23,46
1,86,4,22,1,40
1,86,22,2,8,17
1,86,22,3,1,5
1,87,40,23,1,12
1,87,4,22,,41
1,87,4,23,1,26
1,87,22,3,6,11
1,87,22,4,,
1,87,22,5,,1
1,88,40,23,13,39
1,88,4,23,27,30
1,88,4,24,,
1,88,22,5,2,16
1,88,22,6,1,3
1,89,40,24,1,31
1,89,4,25,,
1,89,4,26,,
1,89,4,27,,
1,89,22,6,4,13
1,89,22,7,,
1,89,22,8,1,4
1,90,40,24,32,51
1,90,4,28,,
1,90,4,29,,
1,90,22,8,5,14
1,91,40,25,1,30
1,91,4,30,,
1,91,4,31,,
1,91,18,1,,
1,92,40,25,31,46
1,92,4,32,,
1,92,4,33,,
1,92,4,34,,
1,92,18,2,,
1,93,40,26,1,25
1,93,4,35,,
1,93,4,36,,
1,93,18,3,,
1,94,40,26,26,46
1,94,5,1,,
1,94,5,2,,
1,94,18,4,,
1,95,40,26,47,75
1,95,5,3,,
1,95,5,4,,
1,95,18,5,,
1,96,40,27,1,31
1,96,5,5,,
1,96,5,6,,
1,96,18,6,,
1,97,40,27,32,66
1,97,5,7,,
1,97,5,8,,
1,97,18,7,,
1,98,40,28,,
1,98,5,9,,
1,98,5,10,,
1,98,18,8,,
1,99,44,1,,
1,99,5,11,,
1,99,5,12,,
1,99,18,9,,
1,100,44,2,1,13
1,100,5,13,,
1,100,5,14,,
1,100,18,10,,
1,101,44,2,14,47
1,101,5,15,,
1,101,5,16,,
1,101,18,11,,
1,102,44,3,,
1,102,5,17,,
1,102,5,18,,
1,102,18,12,,
1,103,44,4,1,22
1,103,5,19,,
1,103,5,20,,
1,103,18,13,,
1,104,44,4,23,37
1,104,5,21,,
1,104,5,22,,
1,104,18,14,,
1,105,44,5,1,16
1,105,5,23,,
1,105,5,24,,
1,105,18,15,,
1,106,44,5,17,42
1,106,5,25,,
1,106,5,26,,
1,106,5,27,,
1,106,18,16,,
1,107,44,6,,
1,107,5,28,,
1,107,18,17,,
1,108,44,7,1,22
1,108,5,29,,
1,108,5,30,,
1,108,18,18,,
1,109,44,7,23,60
1,109,44,8,1,1
1,109,5,31,,
1,109,5,32,,
1,109,18,19,,
1,110,44,8,1,25
1,110,5,33,,
1,110,5,34,,
1,110,18,20,,
1,111,44,8,26,40
1,111,6,1,,
1,111,6,2,,
1,111,18,21,,
1,112,44,9,1,25
1,112,6,3,,
1,112,6,4,,
1,112,6,5,,1
1,112,18,22,,
1,113,44,9,26,43
1,113,6,5,2,15
