id,testament_id,book_id,version,chapter,verse,text
1,1,1,a21,1,1,"No princípio, Deus criou os céus e a terra."
2,1,1,a21,1,2,"A terra era sem forma e vazia, e havia trevas sobre a face do abismo, mas o Espírito de Deus pairava sobre a face das águas."
3,1,1,a21,1,3,"Disse Deus: Haja luz. E houve luz."
4,1,1,a21,1,4,"Deus viu que a luz era boa; e fez separação entre a luz e as trevas."
5,1,1,a21,1,5,"E Deus chamou à luz dia, e às trevas, noite. E foram-se a tarde e a manhã, o primeiro dia."
6,1,1,a21,1,6,"E disse Deus: Haja um firmamento no meio das águas, que faça separação entre águas e águas."
7,1,1,a21,1,7,"E Deus fez o firmamento e separou as águas que estavam debaixo do firmamento das que estavam por cima dele. E assim foi."
8,1,1,a21,1,8,"E ao firmamento Deus chamou céu. E foram-se a tarde e a manhã, o segundo dia."
9,1,1,a21,1,9,"E disse Deus: Ajuntem-se num só lugar as águas que estão debaixo do céu, e apareça o continente. E assim foi."
10,1,1,a21,1,10,"E ao continente Deus chamou terra, e ao ajuntamento das águas, mares. E Deus viu que isso era bom."
11,1,1,a21,1,11,"E disse Deus: Produza a terra os vegetais: plantas que deem semente e árvores frutíferas que, segundo suas espécies, deem fruto que contenha a sua semente sobre a terra. E assim foi."
12,1,1,a21,1,12,"E a terra produziu os vegetais: plantas que davam semente segundo suas espécies e árvores que davam fruto que continha a sua semente, segundo as suas espécies. E Deus viu que isso era bom."
13,1,1,a21,1,13,"E foram-se a tarde e a manhã, o terceiro dia."
14,1,1,a21,1,14,"E disse Deus: Haja luminares no firmamento celeste, para fazerem separação entre o dia e a noite; sirvam eles de sinais tanto das estações como dos dias e dos anos."
15,1,1,a21,1,15,"Sirvam eles de luminares no firmamento celeste, para iluminar a terra. E assim foi."
16,1,1,a21,1,16,"E Deus fez os dois grandes luminares: o luminar maior para governar o dia e o menor para governar a noite; fez também as estrelas."
17,1,1,a21,1,17,"E Deus os colocou no firmamento celeste para iluminar a terra,"
18,1,1,a21,1,18,"para governar o dia e a noite, e para fazer separação entre a luz e as trevas. E Deus viu que isso era bom."
19,1,1,a21,1,19,"E foram-se a tarde e a manhã, o quarto dia."
20,1,1,a21,1,20,"E disse Deus: Produzam as águas cardumes de seres vivos; e voem as aves sobre a terra, abaixo do firmamento do céu."
21,1,1,a21,1,21,"E Deus criou os grandes animais aquáticos e todos os seres vivos que se movem, os quais as águas produziram segundo suas espécies; e toda ave com asas, segundo sua espécie. E Deus viu que isso era bom."
22,1,1,a21,1,22,"Então Deus os abençoou, dizendo: Frutificai e multiplicai-vos; enchei as águas dos mares, multipliquem-se as aves sobre a terra."
23,1,1,a21,1,23,"E foram-se a tarde e a manhã, o quinto dia."
24,1,1,a21,1,24,"E disse Deus: Produza a terra seres vivos segundo suas espécies: gado, animais que rastejam e animais selvagens, segundo suas espécies. E assim foi."
25,1,1,a21,1,25,"E Deus fez os animais selvagens, segundo suas espécies, e o gado, segundo suas espécies, e todos os animais da terra que rastejam, segundo suas espécies. E Deus viu que isso era bom."
26,1,1,a21,1,26,"E disse Deus: Façamos o homem à nossa imagem, conforme nossa semelhança; domine ele sobre os peixes do mar, sobre as aves do céu, sobre o gado, sobre os animais selvagens e sobre todo animal rastejante que se arrasta sobre a terra."
27,1,1,a21,1,27,"E Deus criou o homem à sua imagem; à imagem de Deus o criou; homem e mulher os criou."
28,1,1,a21,1,28,"Então Deus os abençoou e lhes disse: Frutificai e multiplicai-vos; enchei a terra e sujeitai-a; dominai sobre os peixes do mar, sobre as aves do céu e sobre todos os animais que rastejam sobre a terra."
